step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
155.0,37,308.0,1.2571428571428571,7.832325807761918,1,6.0,0.6075058578440822,0,4.0,0.774998684495307,0,0.0,0.6974177406553985,0,8.0,0.8858726753690491,3,11.0,0.3433148586467643,0,10.0,0.4271118040574457,2,30.0,0.26415156900494846,5,38.0,0.3728923786485844,3,7.0,0.505117309602759,1,7.0,0.8133542155888683,5,21.0,0.41354773351395774,1,18.0,0.7383859403271964,3,25.0,0.4106101279646123,1,10.0,0.8635516663428416,1,17.0,0.47910895244911234,11,225.0,0.4370646038846883,37,437.0
160.0,46,354.0,1.3937007874015748,7.547224693653136,2,8.0,0.7007942412156143,3,11.0,0.5896842238612566,0,4.0,0.4858513095571868,0,8.0,0.5858471360453621,4,18.0,0.4493494136119582,5,20.0,0.2603863141172928,6,27.0,0.44722835741329864,1,31.0,0.2141695578432512,1,11.0,0.7069666918202936,2,7.0,0.7260059659010257,2,23.0,0.5957908812434481,1,10.0,0.6040689440583925,4,29.0,0.12942666255954724,2,7.0,0.5954142463117866,2,16.0,0.37483116057219534,11,278.0,0.40445648202783496,46,508.0
165.0,67,513.0,2.0196850393700787,7.22450793545049,1,3.0,0.6725703586647899,3,16.0,0.3564733858708821,0,4.0,0.9266163297314725,6,24.0,0.327702694771312,1,20.0,0.5699888134464169,8,45.0,0.16992941886391824,1,34.0,0.44815661224455905,3,18.0,0.3831119359231052,1,11.0,0.7676669618270193,3,8.0,0.40306256092076953,4,21.0,0.6083204480238731,6,30.0,0.27935938852152986,3,26.0,0.6842495288215846,7,37.0,0.3424000370390895,6,32.0,0.5042874833409798,14,340.0,0.161471414869899,67,669.0
170.0,47,343.0,1.372,7.247630698426497,3,10.0,0.6484736966152971,3,24.0,0.6600084915847334,0,8.0,0.8157351220560856,3,34.0,0.19236350927194684,0,5.0,0.8014912398087627,5,54.0,0.5405040777612375,3,23.0,0.4330350456804016,0,10.0,0.7908778994448536,0,2.0,0.4979523152746059,7,32.0,0.362530097308337,1,20.0,0.3107073638924678,0,30.0,0.4789171243342151,3,34.0,0.6685892608564707,3,43.0,0.392894397604706,1,34.0,0.5666882124589733,15,342.0,0.10470206548009718,47,705.0
175.0,38,188.0,0.7550200803212851,8.20087875561892,0,4.0,0.6908861911544039,1,13.0,0.6868000638420687,0,4.0,0.8449973525102032,2,16.0,0.6607716803943502,2,4.0,0.5735127448738093,3,51.0,0.4877169559938084,1,22.0,0.5891938222367836,0,2.0,0.8932994930433527,3,10.0,0.5442469053401218,1,37.0,0.6818594676109618,7,32.0,0.36599232800416426,2,17.0,0.7370636740597127,5,52.0,0.3030522090665891,4,32.0,0.5700854082861307,1,9.0,0.4735689583633126,6,219.0,0.4642458032064712,38,524.0
180.0,35,159.0,0.6334661354581673,7.814779250983767,2,5.0,0.6614254187701745,2,11.0,0.5679032688147971,0,4.0,0.86729466439629,0,4.0,0.9078940708798406,4,20.0,0.3282236254273601,6,51.0,0.09889698685524324,0,7.0,0.6184237601717221,1,5.0,0.396884500430498,0,8.0,0.7236614858640517,1,9.0,0.6238060034986554,3,41.0,0.4909306017312017,0,6.0,0.6814826882419293,5,55.0,0.1543058412915716,2,31.0,0.20267520011634801,5,27.0,0.37629037601278037,4,107.0,0.5272557504571681,35,391.0
185.0,44,147.0,0.5675675675675675,7.567660836512654,1,4.0,0.6277233710160712,1,10.0,0.4267166994373575,2,8.0,0.526957208258392,0,0.0,0.7610647474762122,0,19.0,0.4288038663259347,6,68.0,0.148837465733551,6,25.0,0.5092824838094367,4,18.0,0.5184141212535522,0,4.0,0.9162863055333232,1,13.0,0.40603598809479485,5,34.0,0.5674715738508256,5,18.0,0.322595741256781,4,35.0,0.615852147620916,7,46.0,0.4008074357062412,0,21.0,0.6703183412515193,2,82.0,0.27064601355718854,44,405.0
190.0,36,160.0,0.6274509803921569,8.05133973482822,3,12.0,0.6068901311318463,3,19.0,0.7259215030475149,1,14.0,0.17757719955128012,0,6.0,0.42833376874771384,0,4.0,0.8497488628219559,0,35.0,0.6645578377150025,7,59.0,0.5626245986876162,0,15.0,0.7066070665127792,0,0.0,0.7716742575556582,6,34.0,0.44667350316805854,3,40.0,0.3237111506741454,0,24.0,0.5417565591442479,2,33.0,0.6663485269663815,1,46.0,0.666266132278471,3,11.0,0.7137828977149324,7,78.0,0.2339030535822898,36,430.0
195.0,39,181.0,0.7327935222672065,7.6225648878610475,0,9.0,0.672681658444562,1,12.0,0.7401493711771819,0,8.0,0.5676334751401135,0,8.0,0.8244845289839358,2,10.0,0.6549155906961845,1,34.0,0.6614625305974405,2,56.0,0.4064112486898396,0,2.0,0.645769445953272,1,8.0,0.5299024709755285,2,36.0,0.6049060247171096,7,47.0,0.3336470030528379,1,13.0,0.8169486307917477,5,35.0,0.2867495482654512,2,10.0,0.472051646917952,1,7.0,0.4494973822252468,14,139.0,0.2493028150630492,39,434.0
200.0,54,284.0,1.105058365758755,7.391233077670179,0,0.0,0.7209046117112826,3,12.0,0.46186458820093795,0,8.0,0.7299295022279696,0,8.0,0.92130136345537,5,27.0,0.4189271045852944,7,54.0,0.34203355609249503,7,41.0,0.20159148297855753,1,5.0,0.453788955303972,0,6.0,0.7807526456331821,2,15.0,0.6385606764146161,7,82.0,0.5238828112488539,1,8.0,0.6737745142482428,3,44.0,0.1421791254906314,2,17.0,0.19266680505974496,5,22.0,0.3996842552230975,11,163.0,0.43595832395713857,54,512.0
